name,number,lat,long
Boystown,1,,
Bridgeport,2,,
Bucktown,3,,
Chinatown,4,,
Douglas,5,,
East Village,6,,
Edgewater,7,,
Gold Coast,8,,
Grand Boulevard,9,,
Grant Park,10,,
Greektown,11,,
Humboldt Park,12,,
Hyde Park,13,,
Kenwood,14,,
Lake View,15,,
Lincoln Park,16,,
Lincoln Square,17,,
"Little Italy, UIC",18,,
Little Village,19,,
Logan Square,20,,
Loop,21,,
Lower West Side,22,,
Millenium Park,23,,
Museum Campus,24,,
Near South Side,25,,
North Center,26,,
Old Town,27,,
Printers Row,28,,
River North,29,,
Rush & Division,30,,
Sheffield & DePaul,31,,
Streeterville,32,,
Ukrainian Village,33,,
United Center,34,,
Uptown,35,,
Washington Park,36,,
West Loop,37,,
West Town,38,,
Wicker Park,39,,
Wrigleyville,40,,
